kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
峻,"There are legal prostitutes waiting on top of a steep mountain. Not only is the mountain steep, but so are the cost of the legal prostitutes.",Steep prices for streetwalkers up a mountain.,"On the mountain, the legal prostitutes are not cheap. In fact, one could say their prices are.. steep! Hahaha!!! haha.. ha.."
竣,"I like mantixen's thinking. As long as its still standing up, the streetwalker still needs to complete her job!",The streetwalker has to make something stand up in order to complete a job.,The legal prostitute stands up and leaves when she's completed her job.
犀,"Mr. Rhinoceros doesn't see well, so to prevent an unwanted attack, I don't surprise him. I always approach waving a flag attached to my walking stick. I've drawn a picture of the I-ching and an attractive cow on the flag, so Mr. Rhinoceros will stay calm when he sees it.",I hang a flag imprinted with the picture of a rhinoceros on the grill of my car to scare cows.,"The power of Eastern philosophy: A rhinoceros may seem like a dangerous, intimidating animal at first ... approach it with a flag on a stick painted with a calming yin-yang symbol, however, and it becomes as docile as a domestic cow."
皐,What's a lunar month? The amount of time it takes a white to read just ten pages of the I Ching. Reviewing the Kanji notwithstanding.,To keep track of time on a desert island Tom Hanks puts a needle into the white part of his yin yang symbol every time a lunar month passes.,"The I-Ching prophesy has spoken: ""The next lunar month, white needles will bring you good luck."""
畷,PRIMITIVE: Four crotches = orgy. The rice-field footpaths were where we used to have orgies back in the day.,In the rice-field footpath I found a condom (used to protect you from the one in four crotches that shouldn't be done ヌde) of someone who couldn't afford a hotel.,The rice-field footpaths that run through the rice fields look like embroidery stitching from afar.
綴,"(Note: This kanji actually means compose/spell.) Spiderman, spell ""crotch""! ""Uhm.. ok.. krotch..."" ""Wrong!"" ""krotsch?"" ""No!"" ""crotsch?"" ""No!"" ""crotch?"" ""There you go, even though you needed 4 tries..""","""Mend"" is a terrible keyword for this one (mainly because it conflicts with ""mending"" and also because the majority of words that use this Kanji have to do with book binding, which I suggest as a replacement). Story: So much had already been written about the famous ""Spiderman's orgy with the four crotches"" that the publishing company had to use extra strong book binding to hold Volume I together!","SPIDEY has to mend his own costume, so he used the CROSS-STITCHING his aunt showed him."
鎧,"""Without the right metal, that there suit of armor won't mount to more than a hill 'o beans!"" said the dwarven smith as I embarked on my quest - with my aluminum-foil hat and shield.",A suit of armor crafted from metal so strong that it could withstand the weight of a mountain of beans.,This metal suit of armor is making it hard to climb this hill of beans.
凱,"After eating a mountain of beans, I was able to triumph in the wind contest.","With the wind blowing, it was a triumph for Jack to climb the giant beanstalk.",TRIUMPH the insult comic dog eats a HILL OF BEANS at the Westminster Dog Show and then breaks WIND in front of all the other show dogs.
呑,"After planting the saplings, the villagers open their mouth and quaff large quantities of sake!","The roots of a sapling are like a mouth, quaffing water and nutrients - so as to grow big and no longer be just a drop. Note that quaffing component 口 is positioned where it should be (in roots below sapling).",The ugly old witch quaffs potions of beauty down her cackling mouth.
韮,You can tell green onions from leeks because leeks are the ones that flower.,"For the green onion primitive, I use a pun: Green UN ONE. Leeks are milder than green onions, they're more like the flowers of the scallion family.","Look up LEEK in Wikipedia, you can see the round FLOWER atop the GREEN ONION. (Thanks chibimizuno for the GREEN ONION pun: Green UN ONE)."
籤,"I never play the lottery. I'd rather be whacked by bamboo staffs as I pass down an assembly line than do that. Of course, when a buddy wins, I'll go to the fiesta and enjoy the special salsa packed with green onions, but I will never play the lottery myself.","(based on mantixen's) If I won the lottery, I wouldn't even need to go speed dating (a fiesta to form couples) to find a woman, even if I had onionbreath they'd be flocking in my direction. On second thoughts.. I'd better buy a bamboo cane to keep the ugly ones away.","Better remembered as raffle. Picture a dating event (fiesta to form couples) where a raffle/lottery is held for a date with the most attractive person of each gender. Everybody pulls from a pot, if you get bamboo you lose, green onions you win!"
懺,Someone stole the bamboo from the previous lottery--but I'm sure their state of mind is very penitential.,"Indiana Jones: ""The penitent man shall pass. The penitent man shall pass."" Indy's state of mind is screaming at him that something is wrong. This assembly line of death is giving all kinds of hints that something is wrong. ""Oh hey, green onions!"" Indy ducks down to grab them and the trap misses him completely... fiestas ensue...","(Accepting of Penitence, which is feeling or showing regret for something you have done because you feel it was wrong) A factory owner has a regret full STATE OF MIND for how he abused his ASSEMBLY LINE workers all those years ago. He goes to a priest cause he is now penitential. The priest says ""You have to give a big Fiesta Party with free Green onion soup for everyone!"""
芻,The 2 mountain goats have to bind up all the hay then the farmer might give them their horns back.,"This one is easy if you know the old form of grass (艸); To make hay, get the old grass, bind up the clumps individually, and then stack them vertically.",I know that 屮 is an old grass radical but here I can't help seeing two pitchforks 屮 hanging up the hay to dry (on hayracks or drying hurdles 勹).
雛,The chick got lost in the hay. Now mama turkey is throwing the stuff all over looking for her chick.,"A young chick milling about in the hay looks up and sees a huge turkey looking down on it. Turkey leans down and says: ""Boy, you got no hope of leavin this place alive...""",HAY... TURKEY... leave us chicks alone! 雛豆　ひよこまめ　chick pea.
趨,"If you suddenly open the barn doors, the rats will scurry away, RUNNING quickly over the HAY scattered across the floor.","Imagine a cartoon character hiding in a haystack, and then trying to run - the result is a haystack scurrying across the field.","帰趨 【きすう】 (n,vs) tendency; trend; drift 趨向 【すうこう】 (n,vs) tendency; trend; current 趨勢 【すうせい】 (n) tendency; trend."
